epoch,step,test_iou_class_0,test_iou_class_1,test_iou_class_2,test_iou_class_3,test_iou_class_4,test_loss,test_mean_iou,train_iou_class_0_epoch,train_iou_class_0_step,train_iou_class_1_epoch,train_iou_class_1_step,train_iou_class_2_epoch,train_iou_class_2_step,train_iou_class_3_epoch,train_iou_class_3_step,train_iou_class_4_epoch,train_iou_class_4_step,train_loss_epoch,train_loss_step,train_mean_iou_epoch,train_mean_iou_step,val_iou_class_0,val_iou_class_1,val_iou_class_2,val_iou_class_3,val_iou_class_4,val_loss,val_mean_iou
0,23,,,,,,,,,,,,,,,,,,,,,,0.8935931324958801,0.0,0.0,0.0,0.0,0.47739142179489136,0.17871861159801483
0,23,,,,,,,,0.8345138430595398,,0.0006298532825894654,,0.1787109375,,7.646999438293278e-05,,0.022009415552020073,,0.6264160871505737,,0.20718812942504883,,,,,,,,
1,47,,,,,,,,,,,,,,,,,,,,,,0.8969491720199585,0.0,0.13421402871608734,0.0,0.0043771942146122456,0.7058499455451965,0.2071080505847931
1,47,,,,,,,,0.8838819265365601,,0.0005054616485722363,,0.2651158273220062,,0.0,,0.1094428151845932,,0.36005857586860657,,0.2517892122268677,,,,,,,,
2,49,,,,,,,,,0.9254982471466064,,0.005775140598416328,,0.3805438280105591,,0.0,,0.0131471436470747,,0.27532893419265747,,0.2649928629398346,,,,,,,
2,71,,,,,,,,,,,,,,,,,,,,,,0.8936276435852051,0.017113208770751953,0.15816283226013184,0.0,0.2275078147649765,1.2949343919754028,0.25928229093551636
2,71,,,,,,,,0.8891045451164246,,0.07429268956184387,,0.20538026094436646,,0.0,,0.228669211268425,,0.3308539092540741,,0.2794893682003021,,,,,,,,
3,95,,,,,,,,,,,,,,,,,,,,,,0.8974497318267822,0.031088585034012794,0.19626685976982117,0.0,0.5421962738037109,0.5223379731178284,0.33340030908584595
3,95,,,,,,,,0.8923882842063904,,0.08381643891334534,,0.28039851784706116,,0.0,,0.36257046461105347,,0.32224568724632263,,0.32383474707603455,,,,,,,,
4,99,,,,,,,,,0.8950226306915283,,0.08134191483259201,,0.2532048225402832,,0.0,,0.34144318103790283,,0.26967853307724,,0.31420251727104187,,,,,,,
